"","Scleractinian_branching","Scleractinian_encrusting","Scleractinian_massive","Scleractinian_laminar","Scleractinian_solitary","Gorgonia","Black_coral","Hydroids","CCA","Cnidaria (non Scleractinian)","Sponges","Fleshy macroalgae","Crustose algae","Halimeda","Others"
"6_GAMMAN1_24",0,0,4,0,0,0,0,0,0,0,0,2.67,0,0,0
"6_GAMMAN1_25",16,0,2.67,0,0,0,0,0,2.67,0,0,0,0,0,0
"6_GAMMAN1_26",4,2.67,5.34,0,0,0,0,0,0,0,0,8,0,0,0
"6_GAMMAN1_27",0,6.66,30.67,0,0,0,0,0,6.67,0,0,0,0,1.33,0
"6_GAMMAN1_28",1.33,0,6.67,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_GAMMAN1_29",13.33,0,1.33,0,0,0,0,0,4,0,0,0,0,2.67,0
"6_GAMMAN1_30",1.33,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"6_GAMMAN2_1",38.66,2.67,0,0,0,0,0,0,13.33,0,0,0,0,2.67,0
"6_GAMMAN2_2",29.33,2.67,0,0,0,0,0,0,20,0,0,0,0,0,0
"6_GAMMAN2_3",21.33,2.66,1.33,0,0,0,0,0,29.33,0,0,0,0,0,0
"6_GAMMAN2_4",36,1.33,4,0,0,0,0,0,17.33,0,0,0,0,0,0
"6_GAMMAN2_5",26.66,4,2.67,0,0,0,0,0,9.33,0,0,0,0,0,0
"6_GAMMAN2_6",29.33,4,2.67,0,0,0,0,0,12,0,0,0,0,0,0
"6_GAMMAN2_7",24,4,17.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_GAMMAN2_8",22.67,4,10.67,0,0,0,0,0,10.67,0,0,0,0,0,0
"6_GAMMAN2_9",36,5.33,8,0,0,0,0,0,8,0,0,0,0,0,0
"6_GAMMAN2_10",18.67,2.67,4,0,0,0,0,0,25.33,0,0,0,0,0,0
"6_GAMMAN2_11",21.33,0,2.66,0,0,0,0,0,36,0,0,0,0,0,1.33
"6_GAMMAN2_12",49.33,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0
"6_GAMMAN2_13",24,0,0,0,0,0,0,0,21.33,0,0,0,0,0,0
"6_GAMMAN2_14",68,1.33,1.33,0,0,0,0,0,10.67,0,0,0,0,0,0
"6_GAMMAN2_15",40,0,4,0,0,0,0,0,33.33,0,0,0,0,0,0
"6_GAMMAN2_16",33.33,0,1.33,0,0,0,0,0,44,0,0,0,0,2.67,0
"6_GAMMAN2_17",24,5.33,4,0,0,0,0,0,22.67,0,0,0,0,4,0
"6_GAMMAN2_18",24,5.33,1.33,0,0,0,0,0,13.34,0,0,0,0,2.67,0
"6_GAMMAN2_19",24,2.67,0,0,0,0,0,0,16,0,0,0,0,1.33,0
"6_GAMMAN2_20",18.67,1.33,2.67,0,0,0,0,0,4,0,0,0,0,16,0
"6_GAMMAN2_21",78.67,1.33,0,0,0,0,0,0,12,0,0,0,0,0,4
"6_GAMMAN2_22",10.67,9.33,3.99,0,0,0,0,0,14.67,0,0,0,0,1.33,0
"6_GAMMAN2_23",61.33,6.67,11.99,0,0,0,0,0,28,0,0,0,0,6.67,0
"6_GAMMAN2_24",22.66,6.67,1.33,0,0,0,0,0,26.67,0,0,0,0,4,0
"6_GAMMAN2_25",32,2.67,6.67,0,0,0,0,0,24,0,0,0,0,0,0
"6_GAMMAN2_26",61.33,0,0,0,0,0,0,0,6.66,0,0,0,0,1.33,0
"6_GAMMAN2_27",20,2.67,0,0,0,0,0,0,20,0,0,0,0,2.67,0
"6_GAMMAN2_28",54.67,0,1.33,0,0,0,0,0,16,0,0,0,0,0,0
"6_GAMMAN2_29",25.34,1.33,0,0,1.33,0,0,0,28,0,1.33,0,0,1.33,0
"6_GAMMAN2_30",25.33,0,0,0,0,0,0,0,25.33,0,0,0,0,6.67,0
"6_SOCBOR1_1",30.67,4,1.33,0,0,0,0,0,0,0,1.33,0,0,0,0
"6_SOCBOR1_2",14.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_3",21.33,9.33,6.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_4",20,0,13.33,0,0,0,0,0,0,0,1.33,0,0,0,0
"6_SOCBOR1_5",18.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_6",36,1.33,0,0,0,0,0,0,0,0,1.33,0,0,0,0
"6_SOCBOR1_7",33.33,2.67,2.67,0,0,0,0,0,0,0,1.33,0,0,0,0
"6_SOCBOR1_8",46.67,8,2.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_9",28,6.67,2.66,0,0,0,0,0,0,0,1.33,0,0,0,0
"6_SOCBOR1_10",40,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_11",28,1.33,2.67,0,0,0,0,0,0,1.33,0,1.33,0,0,0
"6_SOCBOR1_12",17.33,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_13",24,5.33,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_14",34.67,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_15",26.67,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_16",24,2.67,2.67,0,0,0,0,0,0,0,1.33,0,0,0,0
"6_SOCBOR1_17",45.34,2.67,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_18",32,4,20,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_19",8,0,0,0,0,0,0,0,0,0,2.67,0,0,0,0
"6_SOCBOR1_20",14.67,0,1.33,0,0,0,0,0,0,0,1.33,1.33,0,0,0
"6_SOCBOR1_21",9.33,8,0,0,0,0,0,0,0,0,4,0,0,0,0
"6_SOCBOR1_22",29.33,2.67,2.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_23",24,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_24",32,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0
"6_SOCBOR1_25",30.67,0,12,0,0,0,0,0,0,0,1.33,0,0,0,0
"6_SOCBOR1_26",38.67,2.67,2.67,0,0,0,0,0,0,0,1.33,0,0,0,0
"6_SOCBOR1_27",44,1.33,6.66,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR1_28",37.33,6.66,0,0,0,0,0,0,2.67,0,1.33,0,0,0,0
"6_SOCBOR1_29",33.33,4,4,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_SOCBOR1_30",38.67,6.67,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR2_1",37.33,1.33,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR2_2",46.67,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR2_3",33.34,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR2_4",40,1.33,6.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR2_5",48,0,0,0,0,0,0,0,0,0,2.67,0,0,0,0
"6_SOCBOR2_6",46.67,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR2_7",40,0,5.33,0,0,0,0,0,0,0,0,0,0,1.33,0
"6_SOCBOR2_8",38.67,0,1.33,0,0,0,0,0,0,0,0,0,0,2.67,0
"6_SOCBOR2_9",46.67,2.67,1.33,0,0,0,0,0,0,0,0,0,0,4,0
"6_SOCBOR2_10",56,0,9.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR2_11",54.66,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0
"6_SOCBOR2_12",46.67,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR2_13",22.67,1.33,28,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR2_14",44,0,4,0,0,0,0,0,0,0,0,0,0,5.33,0
"6_SOCBOR2_15",56,1.33,5.34,0,0,0,0,0,0,0,0,0,0,5.33,0
"6_SOCBOR2_16",57.33,1.33,8,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_SOCBOR2_17",53.33,0,2.67,0,0,0,0,0,0,0,2.67,0,0,0,0
"6_SOCBOR2_18",45.33,1.33,6.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR2_19",44,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR2_20",52,13.33,4,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR2_21",46.67,1.33,8,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR2_22",57.33,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR2_23",45.33,1.33,8,0,0,0,0,0,0,0,0,0,0,1.33,0
"6_SOCBOR2_24",54.67,0,6.67,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_SOCBOR2_25",37.33,0,4,0,0,0,0,0,4,0,0,0,0,4,0
"6_SOCBOR2_26",56,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCBOR2_27",54.67,0,8,0,0,0,0,0,0,0,0,0,0,4,0
"6_SOCBOR2_28",37.34,9.33,6.67,0,0,0,0,0,0,0,0,0,0,1.33,0
"6_SOCBOR2_29",45.33,0,2.67,0,0,0,0,0,0,0,0,0,0,6.67,0
"6_SOCBOR2_30",45.33,0,4,0,0,0,0,0,0,0,1.33,0,0,0,0
"6_SOCMOO1_1",68,8,0,0,0,0,0,0,0,0,0,2.67,0,0,0
"6_SOCMOO1_2",30.67,1.33,2.67,0,0,0,0,0,0,0,0,17.33,0,0,0
"6_SOCMOO1_3",69.33,0,2.66,0,0,0,0,0,0,0,0,0,0,0,1.33
"6_SOCMOO1_4",60,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO1_5",66.67,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO1_6",81.33,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO1_7",65.33,2.67,2.66,0,0,0,0,0,0,0,2.67,0,0,0,0
"6_SOCMOO1_8",56,1.33,21.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO1_9",30.67,0,52,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO1_10",17.33,0,61.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO1_11",42.67,0,37.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO1_12",82.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO1_13",70.67,4,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO1_14",70.66,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO1_15",68,4,5.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO1_16",69.33,9.33,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO1_17",53.33,5.33,17.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO1_18",52,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO1_19",20,1.33,4,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_SOCMOO1_20",65.33,5.33,4,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO1_21",70.66,10.67,0,0,0,0,0,0,0,0,0,4,0,0,0
"6_SOCMOO1_22",79.99,10.67,4,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO1_23",65.33,13.33,6.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO1_24",49.33,6.66,32,0,0,0,0,0,0,0,0,0,0,1.33,0
"6_SOCMOO1_25",50.67,0,13.33,0,0,0,0,0,0,0,0,4,0,0,0
"6_SOCMOO1_26",82.67,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0
"6_SOCMOO1_27",70.67,12,0,0,0,0,0,0,0,0,0,1.33,0,0,0
"6_SOCMOO1_28",50.67,0,1.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_SOCMOO1_29",57.33,6.67,0,0,0,0,0,0,0,0,0,2.67,0,0,0
"6_SOCMOO1_30",80,5.33,1.33,0,0,0,0,0,0,0,0,2.67,0,0,0
"6_SOCMOO2_1",44,21.33,0,0,0,0,0,0,2.67,0,0,0,0,0,0
"6_SOCMOO2_2",8,1.33,28,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO2_3",44,6.67,9.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO2_4",40,2.66,8,0,0,0,0,0,0,0,2.67,0,0,8,0
"6_SOCMOO2_5",29.33,1.33,6.66,0,0,0,0,0,0,0,2.67,0,0,0,0
"6_SOCMOO2_6",61.33,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO2_7",45.34,5.33,13.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO2_8",44,4,25.33,0,0,0,0,0,1.33,0,0,0,0,1.33,0
"6_SOCMOO2_9",56,4,4,0,0,0,0,0,0,0,0,1.33,0,2.67,0
"6_SOCMOO2_10",40,12,0,0,0,0,0,0,5.33,0,0,0,0,1.33,0
"6_SOCMOO2_11",52,5.34,2.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO2_12",34.67,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO2_13",25.33,10.67,4,0,0,0,0,0,0,0,0,0,0,1.33,0
"6_SOCMOO2_14",29.34,8,6.66,0,0,0,0,0,2.67,0,2.67,0,0,0,0
"6_SOCMOO2_15",52,1.33,4,0,0,0,0,0,0,0,0,1.33,0,2.67,0
"6_SOCMOO2_16",61.33,2.67,6.67,0,0,0,0,0,0,0,0,0,0,1.33,0
"6_SOCMOO2_17",64,6.67,2.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO2_18",26.67,21.33,0,0,0,0,0,0,2.67,0,0,0,0,0,0
"6_SOCMOO2_19",60,14.67,5.33,0,0,0,0,0,0,0,0,1.33,0,0,0
"6_SOCMOO2_20",54.67,5.33,2.67,0,0,0,0,0,0,0,1.33,0,0,2.67,0
"6_SOCMOO2_21",14.66,9.33,21.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO2_22",50.67,14.67,4,0,0,0,0,0,2.67,0,0,0,0,2.67,0
"6_SOCMOO2_23",56,5.33,0,0,0,0,0,0,0,0,1.33,4,0,2.67,0
"6_SOCMOO2_24",22.66,6.66,0,0,0,0,0,0,0,38.67,0,0,0,1.33,0
"6_SOCMOO2_25",66.66,9.34,4,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO2_26",38.67,2.67,2.67,0,0,0,0,0,2.67,25.33,0,1.33,0,0,0
"6_SOCMOO2_27",52,18.67,0,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_SOCMOO2_28",64,9.33,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCMOO2_29",53.33,8,0,0,0,0,0,0,4,0,0,4,0,2.67,0
"6_SOCMOO2_30",21.33,5.33,26.67,0,0,0,0,0,0,0,0,8,0,0,0
"6_SOCTAH1_1",54.67,10.66,2.66,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_2",33.33,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_3",34.67,13.33,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_4",38.67,0,2.66,0,0,0,0,0,0,0,0,0,0,0,1.33
"6_SOCTAH1_5",48,8,4,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_6",57.33,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_7",46.67,0,2.67,0,0,0,0,0,0,0,0,0,0,1.33,0
"6_SOCTAH1_8",52,5.33,1.33,0,1.33,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_9",46.67,2.67,5.34,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_10",76,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_11",56,0,2.67,0,1.33,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_12",34.66,4,10.66,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_13",49.33,1.33,2.66,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_14",42.67,0,2.66,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_SOCTAH1_15",54.67,2.67,2.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_16",52,10.67,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_17",50.67,6.67,5.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_18",30.67,2.67,5.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_19",34.67,40,1.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_SOCTAH1_20",58.66,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_21",68,5.33,1.33,0,1.33,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_22",40,5.33,5.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_23",41.33,6.67,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_24",36,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_25",53.33,5.33,4,0,0,0,0,0,2.67,0,0,0,0,0,0
"6_SOCTAH1_26",60,2.67,0,0,0,0,0,0,0,0,0,0,0,0,1.33
"6_SOCTAH1_27",46.67,2.67,2.66,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_28",57.34,4,2.66,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_29",56,6.67,17.34,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH1_30",64,9.33,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH2_1",25.33,0,2.67,0,0,0,0,0,0,0,0,2.66,0,0,0
"6_SOCTAH2_2",16,2.67,10.67,0,0,0,0,0,2.67,0,0,2.67,0,1.33,0
"6_SOCTAH2_3",57.33,4,9.33,0,0,0,0,0,0,0,0,2.67,0,1.33,0
"6_SOCTAH2_4",40,1.33,1.33,0,0,0,0,0,0,0,0,2.67,0,0,0
"6_SOCTAH2_5",18.67,5.33,0,0,0,0,0,0,0,0,0,36,0,5.33,0
"6_SOCTAH2_6",24,4,5.33,0,0,0,0,0,1.33,0,4,10.66,0,0,0
"6_SOCTAH2_7",24,8,8,0,0,0,0,0,1.33,0,0,6.66,0,0,0
"6_SOCTAH2_8",42.67,4,1.33,0,0,0,0,0,2.67,0,0,4,0,1.33,0
"6_SOCTAH2_9",32,5.33,4,0,0,0,0,0,4,0,0,0,0,1.33,0
"6_SOCTAH2_10",14.67,4,4,0,0,0,0,0,6.67,0,0,0,0,0,0
"6_SOCTAH2_11",28,5.33,0,0,0,0,0,0,0,0,0,9.33,0,0,0
"6_SOCTAH2_12",12,6.66,2.66,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH2_13",14.67,13.33,14.66,0,0,0,0,0,0,0,2.67,0,0,1.33,0
"6_SOCTAH2_14",34.66,8,0,0,0,0,0,0,1.33,0,0,25.33,0,0,0
"6_SOCTAH2_15",16,5.33,1.33,0,0,0,0,0,1.33,0,0,14.67,0,0,0
"6_SOCTAH2_16",16,5.33,2.67,0,0,0,0,0,4,0,0,0,0,0,0
"6_SOCTAH2_17",13.33,2.67,2.66,0,0,0,0,0,1.33,0,0,0,0,0,16
"6_SOCTAH2_18",36,9.33,1.33,0,0,0,0,0,16,0,9.33,0,0,0,0
"6_SOCTAH2_19",50.67,2.67,0,0,0,0,0,0,6.67,0,2.67,0,0,0,5.33
"6_SOCTAH2_20",50.66,0,2.66,0,0,0,0,0,4,0,0,0,0,0,2.67
"6_SOCTAH2_21",24,13.33,3.99,0,0,0,0,0,2.67,0,0,0,0,0,0
"6_SOCTAH2_22",32,13.33,2.66,0,0,0,0,0,12,0,0,0,0,0,0
"6_SOCTAH2_23",50.67,8,0,0,0,0,0,0,14.67,0,0,0,0,0,0
"6_SOCTAH2_24",40,1.33,0,0,0,0,0,0,2.67,0,0,0,0,0,0
"6_SOCTAH2_25",18.67,9.33,8,0,0,0,0,0,0,0,0,0,0,0,0
"6_SOCTAH2_26",28,2.67,2.67,0,0,0,0,0,8,1.33,0,5.33,0,0,0
"6_SOCTAH2_27",34.67,0,8,0,0,0,0,0,1.33,0,0,0,0,1.33,0
"6_SOCTAH2_28",38.67,6.66,1.33,0,0,0,0,0,9.33,0,0,5.33,0,0,0
"6_SOCTAH2_29",10.67,1.33,5.34,0,0,0,0,0,0,0,1.33,1.33,1.33,0,0
"6_SOCTAH2_30",9.33,5.33,6.66,0,0,0,0,0,9.33,0,0,4,0,0,0
"6_TUAMAK1_1",28,4,33.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUAMAK1_2",20,6.67,25.33,0,0,0,0,0,1.33,0,0,0,0,0,12
"6_TUAMAK1_3",18.67,1.33,41.33,0,0,0,0,0,8,0,1.33,0,0,0,0
"6_TUAMAK1_4",28,13.33,8,0,0,0,0,0,0,0,0,1.33,0,0,0
"6_TUAMAK1_5",17.33,4,28,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK1_6",26.67,9.33,2.67,0,0,0,0,0,2.67,0,0,2.67,1.33,0,0
"6_TUAMAK1_7",56,2.67,20,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUAMAK1_8",24,20,8,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK1_9",24.01,20,17.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK1_10",38.67,7.99,21.33,0,0,0,0,0,2.67,0,0,0,0,0,0
"6_TUAMAK1_11",36,1.33,5.33,0,0,0,0,0,0,0,0,0,0,2.67,0
"6_TUAMAK1_12",5.33,2.66,70.67,0,0,0,0,0,2.67,0,0,0,0,0,0
"6_TUAMAK1_13",21.33,9.33,12,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUAMAK1_14",42.67,5.33,0,0,0,0,0,0,2.67,0,0,0,0,0,0
"6_TUAMAK1_15",44,0,34.67,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUAMAK1_16",26.67,8,21.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK1_17",48,13.33,8,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK1_18",62.67,0,13.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUAMAK1_19",38.67,8,2.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK1_20",45.33,11.99,6.67,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUAMAK1_21",40,20,12,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUAMAK1_22",37.33,6.67,16,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK1_23",50.67,10.66,10.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK1_24",2.67,6.67,53.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK1_25",0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK1_26",21.33,0,49.33,0,0,0,0,0,2.67,0,0,0,0,0,0
"6_TUAMAK1_27",84,2.67,2.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK1_28",16,8,20,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK1_29",32,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK1_30",42.67,1.33,34.67,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUAMAK2_1",33.33,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_2",29.33,24,2.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_3",28,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_4",33.33,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_5",28,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_6",18.67,2.67,4,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_7",28,4,20,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_8",8,4,12,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_9",46.66,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_10",65.34,5.33,9.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_11",16,0,78.67,0,0,0,0,0,0,0,0,0,0,0,1.33
"6_TUAMAK2_12",33.34,1.33,10.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_13",41.33,2.66,17.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_14",33.33,8,38.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_15",13.33,1.33,26.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_16",10.67,2.67,17.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_17",0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
